value, var1, var2, var3, var4, var5, var6, var7, var8, var9, var10, var11, var12, var13, var14, var15, var16, var17, var18, var19,var20
10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9983,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9956,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9933,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9887,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9861,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9826,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9802,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0,0
9785,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0,0
9752,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0,0
9725,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0,0
9703,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0,0
9689,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0,0
9675,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0,0
9656,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0,0
9632,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0,0
9614,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0,0
9725,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0,0
