"","1-2","2-4","4-8","8-16","16-32","32-64","64-128","128-256","256-512","512-1024"
"1",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
"2",9998.26510226137,9999.47728690951,9996.66363691441,9984,10035.2304266405,10014,9977,9983,9990,9997
"3",9999.84717067812,10005.4847758487,9990.61214905904,9966.98474003925,10038.6938470668,9977,9945,9956,9967,9995
"4",9999.35684825191,10001.992199522,9989.02895390638,9967.8288878824,10013.6938470668,9965,9912,9933,9958,9994
"5",9993.82956337185,10013.2617797676,9985.07849449515,9954.34856875778,9976.69384706676,9988,9951,9903,9940,9994
"6",9989.76392191223,10022.1886876269,9975.71813693276,9941.74856875778,9976.69384706676,10016.4210137652,9932,9887,9925,9987
"7",9997.19109622792,10025.5723898862,9964.08504844007,9939.84856875778,10008.5156438184,10040.9163778791,9894,9861,10210,9978
"8",9995.25439929216,10029.0354918402,9981.50969365734,9952.64035423168,9992.49516424842,9997.91637787913,10018,9826,10186,9968
"9",9994.26407475819,10022.8622685023,9984.75582414289,9961.1968111768,9969.49516424842,9973.91637787913,9996,9802,10170,9967
"10",9997.28009324113,10018.4624684756,9994.71581107072,9954.1968111768,9953.49516424842,9954.91637787913,9980,9785,10163,9962
"11",9997.5842408311,10022.4136419445,10016.0571220159,9945.8458737801,9944.49516424842,9966.91637787913,9947,9752,10148,9957
"12",9993.42097917837,10027.0979458987,10048.3389706979,9942.56562981589,9920.49516424842,9967.36632336713,10026.5435618018,9725,10125,9953
"13",9998.1127031673,10031.1967593994,10042.2389706979,9925.56562981589,9903.49516424842,9982.86933470178,10004.5435618018,9703,10109,9946
"14",9995.88969344032,10035.8848833043,10061.4599091584,9909.56562981589,9888.49516424842,10011.2584360402,9981.54356180184,9689,10106,9946
"15",9993.75481776559,10029.7856744418,10053.6435580176,9890.56562981589,9882.99516424842,10117.9307218099,9966.54356180184,9675,10095,9946
"16",9991.05248394898,10027.9897864827,10059.6074290003,9909.60178791891,9886.99516424842,10099.9307218099,9947.54356180184,9656,10076,9943
"17",9990.61197849959,10043.2718335602,10048.9745719265,9897.30489030521,9903.91262656772,10109.2658762712,9985.83961585853,9632,10063,9939
"18",9991.27923832059,10047.1880025898,10041.9745719265,9886.30489030521,9943.15062058191,10128.5473353343,9966.83961585853,9614,10050,9937
"19",9989.14790490601,10054.2678915731,10063.061912659,9872.10489030521,9921.15062058191,10101.5473353343,10012.8396158585,9725,10029,9931
"20",9990.25203160838,10068.174679515,10057.768430753,9869.86001699081,9920.25562492944,10070.5473353343,10076.0010344715,9706,10020,9928
"21",9993.26272369635,10067.6365695349,10051.6342839986,9891.77707779569,9917.25562492944,10013.5473353343,10166.0010344715,9665,10248.44,9920
"22",9996.13210759122,10069.214130267,10045.0351730464,9911.92065715394,9895.25562492944,10044.9225269433,10245.5135238535,9645,10233.44,9912
"23",9992.99407787807,10065.5540338091,10041.248167618,9906.87883962062,9878.767190128,10091.6213083111,10205.5135238535,9602,10204.44,9896
"24",9992.70306026794,10062.3237409285,10046.2185181177,9909.07241623013,9897.57343423017,10069.6213083111,10182.5135238535,9574,10590.44,9888
"25",9996.82952303622,10061.8490430814,10045.8327129979,9908.77534486247,9934.46709606552,10051.6213083111,10166.5135238535,9557,10575.44,9875
"26",10000.8131268576,10071.8730828102,10029.8327129979,9890.77534486247,9978.07863116098,10068.6213083111,10149.5135238535,9538,10571.44,9873
"27",10002.8955461928,10063.6644748242,10033.5882152186,9882.17534486247,9961.07863116098,10088.3603869715,10127.5135238535,9515,10559.44,9869
"28",10004.6555925974,10066.9615163387,10031.5506741711,9877.74661763369,9942.07863116098,10066.3603869715,10109.5135238535,9490,10548.44,9864
"29",10007.7578746055,10059.9277022678,10041.4576060487,9892.19358188614,9937.17602618687,10077.3603869715,10154.396313555,9471,10536.44,9861
"30",10011.6947513417,10049.3612282752,10031.9483540951,9876.13219389014,9909.17602618687,10149.5283111951,10195.396313555,9445,10513.44,9854
"31",10010.3155253942,10053.2920436059,10030.3460998741,9890.36467324657,9956.65937621686,10127.5283111951,10243.6282668632,9429,10503.44,9850
"32",10012.2690932821,10060.2885581844,10030.3490158281,9873.02301370839,9949.65937621686,10098.5283111951,10384.4891407012,9397,10479.44,9835
"33",10012.2974224745,10073.054716883,10029.031804759,9880.5947825331,9945.59322128622,10070.5283111951,10370.4891407012,9377,10468.44,9833
"34",10015.6859584816,10059.5603204605,10021.7085823321,9882.59094343648,9952.52220483065,10110.8658253185,10315.4891407012,9335,10455.44,9832
"35",10011.5496902816,10068.1205174057,10005.478203593,9885.87435651131,9954.52220483065,10081.8658253185,10291.4891407012,9555,10437.44,9829
"36",10011.3658654619,10069.1872560312,10004.8999303781,9878.87435651131,9985.99916315465,10143.7783410186,10272.4891407012,9541,10431.44,9828
"37",10010.7404538874,10071.4476407012,10006.408456989,9907.81525112298,9998.42892753835,10117.7783410186,10251.4891407012,9686.984695586,10413.44,9817
"38",10010.5121375007,10067.3473975252,10015.4539512607,9896.81525112298,9997.42892753835,10196.7783410186,10340.5106544696,9676.984695586,10412.44,9817
"39",10009.862798765,10059.9885790888,10015.1950931756,9890.49180845812,9994.48225726224,10169.7783410186,10314.5106544696,9649.984695586,10890.44,9811
"40",10012.8576896274,10060.6931870262,9994.19509317559,9888.70832799224,9976.48225726224,10150.7783410186,10299.5106544696,9633.984695586,10874.44,9799
"41",10011.2560246547,10051.323158794,10003.8351561386,9886.75883522409,9983.63334947462,10126.7783410186,10401.4975879188,9611.984695586,10858.44,9797
"42",10011.2591920985,10060.3691334123,9992.36351533304,9870.75883522409,9973.57172231204,10095.7783410186,10456.5296847112,9819.22040246953,10849.44,9796
"43",10007.1306100479,10062.4978358504,9986.4372541441,9869.25883522409,9992.42413143673,10122.825845393,10429.5296847112,9798.22040246953,10837.44,9796
"44",10009.1536515484,10063.8799700296,9988.34195074087,9854.25883522409,10017.424488154,10103.825845393,10411.5296847112,9778.22040246953,10820.44,9795
"45",10003.4680595013,10073.4728068263,9996.47492241432,9850.08061058909,9978.42448815399,10068.825845393,10496.7263523024,9744.22040246953,10793.44,9790
"46",10006.5092088527,10052.7190919034,10017.2620004389,9845.58061058909,9936.42448815399,10114.825845393,10520.7079075333,9708.22040246953,10779.44,9785
"47",10011.8361615683,10069.2037424656,10013.3137626392,9830.58061058909,9999.92980754421,10119.825845393,10486.7079075333,10019.0320640079,10758.44,9773
