"EVENT_ID","MENU_HINT","EVENT_NAME","EVENT_DT","SELECTION_ID","SELECTION_NAME","WIN_LOSE","BSP","PPWAP","MORNINGWAP","PPMAX","PPMIN","IPMAX","IPMIN","MORNINGTRADEDVOL","PPTRADEDVOL","IPTRADEDVOL","Date","Year","Month"
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","58048","Themoneyreapilgrim","0","","333.79833206974981046247156937073540561","114.599926160047995968802620278296819107","660","100","1","1001","4","52.76","0",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","673248","House Of Cars","0","","264.080882215358302044274501861977982906","1","560","170","250","85","0","48.42","27.44",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","737124","Slyguff Rory","0","","10.3052060850016201978120968341469859811","5.25014337371876560050095608789729730763","14.5","8.6","29","9","67.4","5616.24","813.56",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","779754","Royal Mount Loftus","0","","34.3041444323485202215015391631831083911","43.2848822977250202410648236587007848947","75","28","1000","6","29.76","645.06","1485.32",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","815103","Katie Baby","0","","154.861530268063199005858334812710811291","14.9999916000050399969760018143989113607","250","90","1","1001","10","112.66","0",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","972558","Royal County Star","1","","5.22835602021973056734363189282279927108","5.34724595565772812560967838419358906201","6.2","4.2","7","1.01","371.22","31619.92","63252.32",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1016232","Shoot The Breeze","0","","10.9155707831572165655783112498618941313","10.3991503539503234553955985946890364854","13","9.6","10.5","7.2","217.24","4810.82","797.68",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1078716","Walkin Aisy","0","","7.67746987257355346061514716196032404377","7.12346310004600983887071815831008296346","9.8","5.9","1000","8","635.6","10993.64","1659.08",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1094679","Knockersally Flyer","0","","7.09544003721026458179909965779293329539","7.07422141462653463218763249649914628865","8.2","6","32","5.2","885.72","7297.5","4082.72",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1356515","Sonofapreacherman","0","","147.499561326548517283733988419020880856","1","200","110","1","1001","0","113.98","0",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1383432","The Green Hat","0","","19.6744022465789420006486421933850698551","18.1096761648395407938042241047015306352","23","15.5","21","7.2","32","695.28","349.06",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1411827","Well Run","0","","6.72493399905028739473027412345048741715","6.27045885024370129566228452539150646386","11","6","6","4.9","33.26","6170.22","1584.98",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1451658","Up There","0","","19.276711649947204803208148499493661482","34.3086922580382519664266483651185691074","36","17","200","15.5","20.86","741.02","199.18",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1451664","My Auld Man","0","","15.8082135858660758788742693931478932298","11.3068561301678697127763233029608425298","22","11","9","1.22","87.94","1837.96","22564.1",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","1483768","Bob Klein","0","","118.912874979391808410065579253122081384","56.4899056671603658273780934572411226901","550","90","95","95","4","161.38","4",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","2212766","Tiernans Terror","0","","152.118982614667234530410731535539755512","1","180","85","100","100","0","69.04","64.7",2007-04-08 14:15:00,2007,4
"20358920","IRE / Fairy 8th Apr","2m6f Beg Chs","08-04-2007 14:15","2368866","Wilson","0","","289.280774550484094052558782849239280775","1","420","250","1","1001","0","28.92","0",2007-04-08 14:15:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1031079","Native Caroline","0","","198.363674233535343514745903974911773675","152.566863792638502119574478488722532894","330","140","110","110","5.44","95.48","5",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1048635","Regal Force","0","","72.8760622630309769215500700309955991651","1","180","30","90","17","0","854.82","233.46",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1053633","La Marianne","0","","26.6301549440947329932879916008394912381","17.5698945007757303312757176185155257572","44","15.58","50","16","71.44","1372.84","217.72",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1068607","Blazing Sky","0","","6.61918212361462542779603306146609292986","7.77037568048049382517264510677748745644","10","5.8","1000","2","215.78","12897.2","7648.72",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1207796","Chomba Womba","0","","4.91503257411356125248926477127443777742","4.85519824593289710701614305698496383215","5.4","4.53","34","2.04","2312.48","21274.3","11190.78",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1265626","Gabrona","0","","36.2902251472327316432500874685371016582","32.9749997966217260591136453200199708006","80","29","95","30","37","651.6","44.74",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1268640","Miss Mason","0","","30.1515069934211039234479660733840296368","22.7445608597904523771857210657020817363","44","21","26","22","12","799.86","98.02",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1398742","Grangeclare Lark","1","","9.66992901876798723041120786770686972672","7.97805115559926120589433023298426324577","13.5","6.99","21","1.05","378.44","4944.88","45019.78",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1424002","Contessa Messina","0","","11.4240113914912084386596071780311647439","13.7437017333387027184161352842401917292","16.5","9","65","8.6","474.12","7320.64","682.08",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1431336","Shuil Aris","0","","10.7003430826158260260524576245982900719","10.286450420832810131621483140291516254","14.63","9","13","2","1786","11210.76","6846.74",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1461221","Winning Counsel","0","","113.190374295786281133148765476047437663","1","170","85","95","75","0","244.14","17.74",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","1479550","Lounaos","0","","4.09756476134319944833175215862870074847","3.22782446692251737556167499881955926709","4.7","2.57","44","3.6","9236.88","96330.76","29317.02",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","2325210","Lough Cuan","0","","37.1594496255943506548371883140754987671","1","60","24","95","28","0","575.6","41.5",2007-04-08 14:45:00,2007,4
"20358922","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 14:45","2352877","Teffia Native","0","","123.506120932670520037844363779676759132","1","180","100","100","100","0","161.66","5",2007-04-08 14:45:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","366216","Icklingham","0","","9.48340751851397338825138631328255398643","9.00834835267856402934204756310632946219","11.43","7.1","1000","9.6","220.1","10241.6","1513.24",2007-04-08 15:15:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","781844","Davorin","0","","9.25379568395853983342160333168733604216","9.10167282428932695438136730347383427136","12","7","9","5.3","1957.08","15624.44","3217.3",2007-04-08 15:15:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","827791","Aitmatov","1","","3.34277014698979705794790827090323895726","2.6584156037192616623551315886190613584","6","2.44","6","1.01","870.72","114651.92","82963.28",2007-04-08 15:15:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","994490","Leading Run","0","","8.4953643552349517873719261116035816003","6.98910783811408715730550015667668605892","10.5","7.2","40","9","307.02","8799.92","2548.54",2007-04-08 15:15:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","1277473","Casey Jones","0","","9.50882298159836106864403673654008299087","8.30012766969524465144183247202055019799","17.89","8.6","9","7","147.3","5774.54","2229.58",2007-04-08 15:15:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","1398749","Treacle","0","","19.7162880188782221778890656365032730236","21.0677402558330038489450120807342352675","29.82","12.5","20","11","104.32","1996.92","930.64",2007-04-08 15:15:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","1458808","Montana Bay","0","","5.33540756089457256413944020272223021869","4.72906642534679077710336376522831795012","6.4","4.67","1000","1.51","256.7","25667.28","23044.78",2007-04-08 15:15:00,2007,4
"20358924","IRE / Fairy 8th Apr","2m4f Nov Hrd","08-04-2007 15:15","1556581","Aces Or Better","0","","23.799649097022823090444138064992127637","19.5942446193530971282530024356920569832","36","19.5","34","16","55.06","1834.28","993.62",2007-04-08 15:15:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","484649","Purple Shuffle","0","","23.2914293542810710466690035400345656694","35.8480753418536768764107275311012816249","41.36","14.5","26","4.1","139.14","3028.12","777.62",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","789874","Washington Lad","0","","42.7480469856032080436975203772360791042","39.3537364266650676344622010404759453363","75","28","42","11.5","77.26","1512.48","660.4",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","831278","King Johns Castle","0","","5.73983441488417661514226956776878714063","6.85618280210627007511495598916672038008","9.02","5","1000","6","1409.84","33465.18","3274.36",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","951507","Oran Climate","0","","24.0997201371130323778084193509313640002","29.4507520401095058565829415343092329503","36.1","18.05","22","18","201.9","2735.08","204.14",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","996563","Ursis","0","","6.0609167976972677762550655519690997111","5.00652469111055121280053312577554193345","7","3.84","1000","5.5","981.12","27716.58","2264.88",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","1061293","Anothercoppercoast","0","","47.2036652054495458316895306039695361412","62.5295137463409428573687118368333810286","110","34","38","15.5","47.54","1480.5","109.64",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","1102429","Regal Heights","0","","6.88282001817833809982904560095679000465","6.29251161921811064089472680805693684368","8","5.87","60","6.2","1560.88","20047.96","3489.14",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","1128585","Schindlers Hunt","0","","3.58622052041647072936400125323894924561","3.48792450446149343874388164740298387689","4","2.86","190","1.3","4970.08","144935.2","50462.56",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","1278448","One Cool Cookie","1","","15.8375185585954455828941352266440071939","16.4987031688721489514258024615573953589","21.06","11","10.5","1.01","359.1","3739.96","65138.14",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","1297261","Hear The Echo","0","","46.1411439158276182245026233920372551373","42.198363102950984765168563914817184824","75","32","44","30","59.76","1178.86","78.2",2007-04-08 15:50:00,2007,4
"20358926","IRE / Fairy 8th Apr","2m4f Grd1 Chs","08-04-2007 15:50","1303748","Mattock Ranger","0","","25.9154290202367964739534798616813070686","30.6310889011573970549339368979506741379","41.36","19","36","36","197.98","2079.86","72",2007-04-08 15:50:00,2007,4
"20358928","IRE / Fairy 8th Apr","2m Hcap Hrd","08-04-2007 16:25","32026","Cashel Bay","0","","99.2653346167149830837052968580716388794","34.2696390244165850800518814370864076125","140","48","120","110","4","537.96","5.02",2007-04-08 16:25:00,2007,4
"20358928","IRE / Fairy 8th Apr","2m Hcap Hrd","08-04-2007 16:25","58069","Do The Trick","0","","15.7330567122543437226942645819401594018","15.6571855077417628124110002130158807858","29","13","21","11.5","582.24","8216.52","954",2007-04-08 16:25:00,2007,4
"20358928","IRE / Fairy 8th Apr","2m Hcap Hrd","08-04-2007 16:25","184072","Lucky Slipper","0","","136.207287748765743372820487086473395072","1","520","65","150","150","0","314.26","13.3",2007-04-08 16:25:00,2007,4
