"","value","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","Direction"
"1",10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"2",9977,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"3",9945,-32,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"4",9912,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"5",9951,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"6",9932,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"7",9894,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"8",10018,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Up"
"9",9996,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,0,0,"Down"
"10",9980,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,0,"Down"
"11",9947,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,0,"Down"
"12",10026.54356,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,0,"Up"
"13",10004.54356,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,0,"Down"
"14",9981.543562,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,0,"Down"
"15",9966.543562,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,0,"Down"
"16",9947.543562,-19,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,0,"Down"
"17",9985.839616,38.29605406,-19,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,0,"Up"
"18",9966.839616,-19,38.29605406,-19,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,0,"Down"
"19",10012.83962,46,-19,38.29605406,-19,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,0,"Up"
"20",10076.00103,63.16141861,46,-19,38.29605406,-19,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,0,"Up"
"21",10166.00103,90,63.16141861,46,-19,38.29605406,-19,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,-23,"Up"
"22",10245.51352,79.51248938,90,63.16141861,46,-19,38.29605406,-19,-15,-23,-22,79.5435618,-33,-16,-22,124,-38,-19,39,-33,-32,"Up"
